tab 	specimens
aniso_alt	aniso_ftest	aniso_ftest12	aniso_ftest23	aniso_s	aniso_s_n_measurements	aniso_s_sigma	aniso_type	aniso_v1	aniso_v2	aniso_v3	citations	description	dir_comp	dir_dang	dir_dec	dir_inc	dir_mad_free	dir_n_comps	dir_n_measurements	dir_tilt_correction	experiments	geologic_classes	geologic_types	int_abs	int_b_beta	int_corr	int_corr_anisotropy	int_corr_cooling_rate	int_dang	int_drats	int_f	int_fvds	int_g	int_mad_free	int_n_measurements	int_n_ptrm	int_q	int_treat_dc_field	lithologies	location	meas_step_max	meas_step_min	meas_step_unit	method_codes	result_quality	sample	site	software_packages	specimen
											This study										LP-AN-TRM: LP-PI-ALT-PTRM : LP-PI-BT-IZZI : LP-PI-TRM :hz11b3	Archeologic	Ceramic	5.85e-05	0.04	c	1.11	0.94	0.46	8.8	0.82	0.79	0.87	3.19	9.0	6.0	17.52	5.9999999999999995e-05	Not Specified	Tel Hazor	863.0	573.0	K	AE-H:DA-AC-ATRM:DA-CR:IE-TT:LP-AN-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM		hz11b	hz11	pmagpy-3.4.1: thellier_gui.v.3.0	hz11b3
2.73	4.8928519999999995	4.4264	1.8703400000000001	0.307906 : 0.326914 : 0.365180 : 0.005609 : -0.014814 : 0.024111	6.0	0.01659	ATRM	0.376936 : 141.7 : -67.3	0.327575 : 246.7 : -6.2	0.295489 : 159.2 : 21.7	This study	Critical F: 3.1059									hz11b3;ATRM	Archeologic	Ceramic																Not Specified	Tel Hazor				AE-H:LP-AN-TRM	g	hz11b	hz11	pmagpy-3.4.1: thellier_gui.v.3.0	hz11b3
											This study										LP-AN-TRM: LP-PI-ALT-PTRM : LP-PI-BT-IZZI : LP-PI-TRM :hz11c1	Archeologic	Ceramic	6.68e-05	0.02	c	0.97	0.98	2.15	5.89	0.92	0.83	0.79	4.96	11.0	6.0	40.24	5.9999999999999995e-05	Not Specified	Tel Hazor	863.0	473.0	K	AE-H:DA-AC-ATRM:DA-CR:IE-TT:LP-AN-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM		hz11c	hz11	pmagpy-3.4.1: thellier_gui.v.3.0	hz11c1
2.69	2.568962	2.1287529999999997	1.134326	0.332736 : 0.341994 : 0.325270 : 0.003508 : -0.012073 : -0.002005	6.0	0.008505	ATRM	0.349303 : 74.6 : -26.9	0.331754 : 347.5 : 5.7	0.318944 : 88.6 : 62.4	This study	Critical F: 3.1059									hz11c1;ATRM	Archeologic	Ceramic																Not Specified	Tel Hazor				AE-H:LP-AN-TRM	b	hz11c	hz11	pmagpy-3.4.1: thellier_gui.v.3.0	hz11c1
											This study										LP-AN-TRM: LP-PI-ALT-PTRM : LP-PI-BT-IZZI : LP-PI-TRM :hz11c2	Archeologic	Ceramic	5.8599999999999995e-05	0.01	c	1.0	0.98	2.29	6.84	0.86	0.75	0.77	4.58	9.0	6.0	51.97	5.9999999999999995e-05	Not Specified	Tel Hazor	863.0	573.0	K	AE-H:DA-AC-ATRM:DA-CR:IE-TT:LP-AN-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM		hz11c	hz11	pmagpy-3.4.1: thellier_gui.v.3.0	hz11c2
2.51	0.358939	0.119219	0.349629	0.337015 : 0.330625 : 0.332360 : 0.006281 : 0.003311 : -0.004687	6.0	0.013625	ATRM	0.341567 : 25.2 : -17.1	0.334913 : 91.1 : 53.1	0.323520 : 126.1 : -31.6	This study	Critical F: 3.1059									hz11c2;ATRM	Archeologic	Ceramic																Not Specified	Tel Hazor				AE-H:LP-AN-TRM	b	hz11c	hz11	pmagpy-3.4.1: thellier_gui.v.3.0	hz11c2
											This study											Archeologic	Ceramic																Not Specified	Tel Hazor						hz11c	hz11	pmagpy-3.4.1: thellier_gui.v.3.0	hz11c3
											This study										LP-AN-TRM: LP-PI-ALT-PTRM : LP-PI-BT-IZZI : LP-PI-TRM :hz11c4	Archeologic	Ceramic	6.3e-05	0.02	c	0.97	0.97	1.02	5.81	0.9	0.79	0.8	3.63	10.0	6.0	30.35	5.9999999999999995e-05	Not Specified	Tel Hazor	863.0	523.0	K	AE-H:DA-AC-ATRM:DA-CR:IE-TT:LP-AN-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM		hz11c	hz11	pmagpy-3.4.1: thellier_gui.v.3.0	hz11c4
1.57	2.3866330000000002	0.6904100000000001	2.476729	0.340801 : 0.328682 : 0.330517 : -0.003089 : -0.011405 : -0.011219	6.0	0.010163	ATRM	0.348835 : 16.6 : -37.4	0.336892 : 305.7 : 23.1	0.314272 : 59.7 : 43.7	This study	Critical F: 3.1059									hz11c4;ATRM	Archeologic	Ceramic																Not Specified	Tel Hazor				AE-H:LP-AN-TRM	b	hz11c	hz11	pmagpy-3.4.1: thellier_gui.v.3.0	hz11c4
											This study										LP-AN-TRM: LP-PI-ALT-PTRM : LP-PI-BT-IZZI : LP-PI-TRM :hz11c5	Archeologic	Ceramic	6.17e-05	0.01	c	0.96	0.97	1.35	2.74	0.81	0.77	0.76	4.27	8.0	5.0	44.55	5.9999999999999995e-05	Not Specified	Tel Hazor	833.0	573.0	K	AE-H:DA-AC-ATRM:DA-CR:IE-TT:LP-AN-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM		hz11c	hz11	pmagpy-3.4.1: thellier_gui.v.3.0	hz11c5
1.53	0.350036	0.012227	0.561193	0.338065 : 0.340086 : 0.321849 : 0.000586 : 0.000928 : 0.000024	6.0	0.015203999999999999	ATRM	0.340288 : 255.2 : -2.8	0.337910 : 345.2 : -0.8	0.321802 : 270.4 : 87.1	This study	Critical F: 3.1059									hz11c5;ATRM	Archeologic	Ceramic																Not Specified	Tel Hazor				AE-H:LP-AN-TRM	b	hz11c	hz11	pmagpy-3.4.1: thellier_gui.v.3.0	hz11c5
											This study											Archeologic	Ceramic																Not Specified	Tel Hazor						hz11c	hz11	pmagpy-3.4.1: thellier_gui.v.3.0	hz11c6
											This study											Archeologic	Ceramic																Not Specified	Tel Hazor						hz11c	hz11	pmagpy-3.4.1: thellier_gui.v.3.0	hz11c7
											This study											Archeologic	Ceramic																Not Specified	Tel Hazor						hz11c	hz11	pmagpy-3.4.1: thellier_gui.v.3.0	hz11c8
											This study										LP-AN-TRM: LP-PI-ALT-PTRM : LP-PI-BT-IZZI : LP-PI-TRM :hz13a1	Archeologic	Ceramic	7.099999999999999e-05	0.02	c	0.89	0.96	2.09	6.02	0.75	0.72	0.89	4.66	11.0	5.0	31.22	5.9999999999999995e-05	Not Specified	Tel Hazor	803.0	373.0	K	AE-H:DA-AC-ATRM:DA-CR:IE-TT:LP-AN-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM		hz13a	hz13	pmagpy-3.4.1: thellier_gui.v.3.0	hz13a1
2.87	1.210374	0.742962	0.7700859999999999	0.356918 : 0.318160 : 0.324921 : -0.012327 : 0.012130 : 0.015455	6.0	0.025276	ATRM	0.364330 : 349.9 : 18.4	0.333519 : 100.5 : 46.7	0.302151 : 245.1 : 37.6	This study	Critical F: 3.1059									hz13a1;ATRM	Archeologic	Ceramic																Not Specified	Tel Hazor				AE-H:LP-AN-TRM	b	hz13a	hz13	pmagpy-3.4.1: thellier_gui.v.3.0	hz13a1
											This study										LP-AN-TRM: LP-PI-ALT-PTRM : LP-PI-BT-IZZI : LP-PI-TRM :hz13a2	Archeologic	Ceramic	6.63e-05	0.02	c	0.95	0.96	0.41	10.3	0.8	0.8	0.89	2.94	11.0	5.0	38.55	5.9999999999999995e-05	Not Specified	Tel Hazor	803.0	373.0	K	AE-H:DA-AC-ATRM:DA-CR:IE-TT:LP-AN-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM		hz13a	hz13	pmagpy-3.4.1: thellier_gui.v.3.0	hz13a2
3.6	1.754849	1.18432	1.01148	0.341264 : 0.333262 : 0.325474 : -0.009288 : -0.021432 : 0.008597	6.0	0.017631	ATRM	0.359782 : 311.9 : 32.3	0.332647 : 208.4 : 20.2	0.307571 : 91.9 : 50.5	This study	Critical F: 3.1059									hz13a2;ATRM	Archeologic	Ceramic																Not Specified	Tel Hazor				AE-H:LP-AN-TRM	b	hz13a	hz13	pmagpy-3.4.1: thellier_gui.v.3.0	hz13a2
											This study										LP-AN-TRM: LP-PI-ALT-PTRM : LP-PI-BT-IZZI : LP-PI-TRM :hz13a3	Archeologic	Ceramic	6.43e-05	0.03	c	1.03	0.95	3.17	12.07	0.78	0.77	0.9	3.14	12.0	5.0	27.61	5.9999999999999995e-05	Not Specified	Tel Hazor	803.0	273.0	K	AE-H:DA-AC-ATRM:DA-CR:IE-TT:LP-AN-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM		hz13a	hz13	pmagpy-3.4.1: thellier_gui.v.3.0	hz13a3
2.73	2.5109220000000003	2.5124	0.788283	0.323209 : 0.335077 : 0.341714 : 0.014379 : -0.018794 : -0.002422	6.0	0.014431999999999999	ATRM	0.360941 : 245.9 : 43.3	0.328590 : 28.1 : 39.9	0.310469 : 135.8 : 20.0	This study	Critical F: 3.1059									hz13a3;ATRM	Archeologic	Ceramic																Not Specified	Tel Hazor				AE-H:LP-AN-TRM	b	hz13a	hz13	pmagpy-3.4.1: thellier_gui.v.3.0	hz13a3
											This study										LP-AN-TRM: LP-PI-ALT-PTRM : LP-PI-BT-IZZI : LP-PI-TRM :hz13a4	Archeologic	Ceramic	7.06e-05	0.03	c	0.85	0.95	2.04	12.77	0.77	0.77	0.89	2.64	10.0	5.0	20.26	5.9999999999999995e-05	Not Specified	Tel Hazor	833.0	473.0	K	AE-H:DA-AC-ATRM:DA-CR:IE-TT:LP-AN-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM		hz13a	hz13	pmagpy-3.4.1: thellier_gui.v.3.0	hz13a4
2.67	32.937692999999996	42.914541	4.676594000000001	0.340058 : 0.352854 : 0.307088 : -0.029982 : -0.000334 : -0.010330	6.0	0.006162	ATRM	0.377673 : 129.7 : 5.1	0.320586 : 42.6 : -30.1	0.301741 : 30.9 : 59.4	This study	Critical F: 3.1059									hz13a4;ATRM	Archeologic	Ceramic																Not Specified	Tel Hazor				AE-H:LP-AN-TRM	g	hz13a	hz13	pmagpy-3.4.1: thellier_gui.v.3.0	hz13a4
											This study										LP-AN-TRM: LP-PI-ALT-PTRM : LP-PI-BT-IZZI : LP-PI-TRM :hz13a5	Archeologic	Ceramic	6.51e-05	0.04	c	0.97	0.95	2.01	6.33	0.93	0.91	0.91	3.62	14.0	6.0	23.54	5.9999999999999995e-05	Not Specified	Tel Hazor	863.0	273.0	K	AE-H:DA-AC-ATRM:DA-CR:IE-TT:LP-AN-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM		hz13a	hz13	pmagpy-3.4.1: thellier_gui.v.3.0	hz13a5
1.09	16.789533	11.113708	9.884773	0.332392 : 0.324637 : 0.342971 : -0.001878 : -0.029368 : -0.003397	6.0	0.006770999999999999	ATRM	0.364651 : 265.1 : 53.7	0.332728 : 172.8 : 1.7	0.302621 : 261.6 : -36.2	This study	Critical F: 3.1059									hz13a5;ATRM	Archeologic	Ceramic																Not Specified	Tel Hazor				AE-H:LP-AN-TRM	g	hz13a	hz13	pmagpy-3.4.1: thellier_gui.v.3.0	hz13a5
											This study										LP-AN-TRM: LP-PI-ALT-PTRM : LP-PI-BT-IZZI : LP-PI-TRM :hz13a6	Archeologic	Ceramic	7.15e-05	0.03	c	0.88	0.95	0.93	8.65	0.78	0.8	0.89	1.32	10.0	5.0	26.32	5.9999999999999995e-05	Not Specified	Tel Hazor	833.0	473.0	K	AE-H:DA-AC-ATRM:DA-CR:IE-TT:LP-AN-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM		hz13a	hz13	pmagpy-3.4.1: thellier_gui.v.3.0	hz13a6
2.21	6.8514610000000005	3.579311	5.025342	0.355733 : 0.333628 : 0.310640 : -0.008238 : 0.006629 : 0.017142	6.0	0.010331	ATRM	0.362679 : 347.9 : 16.5	0.335037 : 83.8 : 19.1	0.302284 : 219.9 : 64.3	This study	Critical F: 3.1059									hz13a6;ATRM	Archeologic	Ceramic																Not Specified	Tel Hazor				AE-H:LP-AN-TRM	g	hz13a	hz13	pmagpy-3.4.1: thellier_gui.v.3.0	hz13a6
											This study										LP-AN-TRM: LP-PI-ALT-PTRM : LP-PI-BT-IZZI : LP-PI-TRM :hz13a7	Archeologic	Ceramic	6.47e-05	0.03	c	0.98	0.95	3.28	2.44	0.79	0.77	0.9	4.21	12.0	5.0	25.1	5.9999999999999995e-05	Not Specified	Tel Hazor	803.0	273.0	K	AE-H:DA-AC-ATRM:DA-CR:IE-TT:LP-AN-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM		hz13a	hz13	pmagpy-3.4.1: thellier_gui.v.3.0	hz13a7
1.12	13.170285	6.620161	9.95572	0.331089 : 0.324474 : 0.344437 : 0.009781 : 0.027807 : -0.006266	6.0	0.007839	ATRM	0.364008 : 88.4 : 54.7	0.335485 : 16.7 : -12.6	0.300507 : 114.8 : -32.4	This study	Critical F: 3.1059									hz13a7;ATRM	Archeologic	Ceramic																Not Specified	Tel Hazor				AE-H:LP-AN-TRM	g	hz13a	hz13	pmagpy-3.4.1: thellier_gui.v.3.0	hz13a7
											This study										LP-AN-TRM: LP-PI-ALT-PTRM : LP-PI-BT-IZZI : LP-PI-TRM :hz13b1	Archeologic	Ceramic	5.820000000000001e-05	0.02	c	0.92	1.0	1.52	2.61	0.81	0.8	0.88	2.14	10.0	6.0	46.74	5.9999999999999995e-05	Not Specified	Tel Hazor	863.0	523.0	K	AE-H:DA-AC-ATRM:DA-CR:IE-TT:LP-AN-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM		hz13b	hz13	pmagpy-3.4.1: thellier_gui.v.3.0	hz13b1
1.67	0.945383	0.965512	0.28372800000000004	0.351833 : 0.323924 : 0.324243 : -0.010076 : 0.006315 : 0.002335	6.0	0.018479	ATRM	0.355093 : 342.2 : 0.5	0.329414 : 72.9 : 52.4	0.315493 : 251.8 : 37.6	This study	Critical F: 3.1059									hz13b1;ATRM	Archeologic	Ceramic																Not Specified	Tel Hazor				AE-H:LP-AN-TRM	b	hz13b	hz13	pmagpy-3.4.1: thellier_gui.v.3.0	hz13b1
											This study										LP-AN-TRM: LP-PI-ALT-PTRM : LP-PI-BT-IZZI : LP-PI-TRM :hz13b2	Archeologic	Ceramic	5.19e-05	0.02	c	1.06	1.01	2.4	3.84	0.84	0.84	0.89	4.36	12.0	5.0	30.34	5.9999999999999995e-05	Not Specified	Tel Hazor	803.0	273.0	K	AE-H:DA-AC-ATRM:DA-CR:IE-TT:LP-AN-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM		hz13b	hz13	pmagpy-3.4.1: thellier_gui.v.3.0	hz13b2
0.73	1.566506	1.674521	0.42198500000000005	0.328434 : 0.316746 : 0.354820 : -0.009472 : 0.011650 : -0.008759	6.0	0.018671	ATRM	0.361829 : 136.9 : 64.0	0.327661 : 340.2 : 24.2	0.310509 : 246.1 : 9.1	This study	Critical F: 3.1059									hz13b2;ATRM	Archeologic	Ceramic																Not Specified	Tel Hazor				AE-H:LP-AN-TRM	b	hz13b	hz13	pmagpy-3.4.1: thellier_gui.v.3.0	hz13b2
											This study										LP-AN-TRM: LP-PI-ALT-PTRM : LP-PI-BT-IZZI : LP-PI-TRM :hz13b3	Archeologic	Ceramic	5.56e-05	0.03	c	0.99	1.02	2.73	8.14	0.78	0.79	0.89	4.83	11.0	5.0	22.38	5.9999999999999995e-05	Not Specified	Tel Hazor	803.0	373.0	K	AE-H:DA-AC-ATRM:DA-CR:IE-TT:LP-AN-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM		hz13b	hz13	pmagpy-3.4.1: thellier_gui.v.3.0	hz13b3
1.84	2.209997	2.065336	0.796244	0.313520 : 0.360101 : 0.326379 : 0.004672 : 0.009320 : -0.008072	6.0	0.016505000000000002	ATRM	0.362639 : 86.9 : 13.7	0.329095 : 20.1 : -58.2	0.308267 : 169.4 : -28.1	This study	Critical F: 3.1059									hz13b3;ATRM	Archeologic	Ceramic																Not Specified	Tel Hazor				AE-H:LP-AN-TRM	b	hz13b	hz13	pmagpy-3.4.1: thellier_gui.v.3.0	hz13b3
											This study										LP-AN-TRM: LP-PI-ALT-PTRM : LP-PI-BT-IZZI : LP-PI-TRM :hz13b4	Archeologic	Ceramic	5.85e-05	0.03	c	0.95	1.01	2.59	4.28	0.89	0.87	0.9	4.48	12.0	5.0	23.32	5.9999999999999995e-05	Not Specified	Tel Hazor	833.0	373.0	K	AE-H:DA-AC-ATRM:DA-CR:IE-TT:LP-AN-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM		hz13b	hz13	pmagpy-3.4.1: thellier_gui.v.3.0	hz13b4
2.11	14.349522	17.402877	2.676988	0.319490 : 0.349851 : 0.330659 : -0.009977 : 0.010555 : -0.000159	6.0	0.004991	ATRM	0.356812 : 105.1 : 21.4	0.327368 : 320.2 : 64.4	0.315820 : 20.4 : -13.4	This study	Critical F: 3.1059									hz13b4;ATRM	Archeologic	Ceramic																Not Specified	Tel Hazor				AE-H:LP-AN-TRM	g	hz13b	hz13	pmagpy-3.4.1: thellier_gui.v.3.0	hz13b4
											This study										LP-AN-TRM: LP-PI-ALT-PTRM : LP-PI-BT-IZZI : LP-PI-TRM :hz13b5	Archeologic	Ceramic	5.6200000000000004e-05	0.04	c	0.96	1.02	2.72	4.31	0.82	0.81	0.89	2.64	10.0	5.0	19.37	5.9999999999999995e-05	Not Specified	Tel Hazor	803.0	423.0	K	AE-H:DA-AC-ATRM:DA-CR:IE-TT:LP-AN-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM		hz13b	hz13	pmagpy-3.4.1: thellier_gui.v.3.0	hz13b5
2.32	2.934139	4.21622	0.25308400000000003	0.349500 : 0.324621 : 0.325879 : 0.001390 : 0.002566 : -0.012109	6.0	0.00979	ATRM	0.354608 : 180.6 : 22.8	0.326179 : 78.7 : 26.1	0.319213 : 126.1 : -54.1	This study	Critical F: 3.1059									hz13b5;ATRM	Archeologic	Ceramic																Not Specified	Tel Hazor				AE-H:LP-AN-TRM	b	hz13b	hz13	pmagpy-3.4.1: thellier_gui.v.3.0	hz13b5
											This study											Archeologic	Ceramic																Not Specified	Tel Hazor						hz13c	hz13	pmagpy-3.4.1: thellier_gui.v.3.0	hz13c1
											This study											Archeologic	Ceramic																Not Specified	Tel Hazor						hz13c	hz13	pmagpy-3.4.1: thellier_gui.v.3.0	hz13c2
											This study											Archeologic	Ceramic																Not Specified	Tel Hazor						hz13c	hz13	pmagpy-3.4.1: thellier_gui.v.3.0	hz13c3
											This study											Archeologic	Ceramic																Not Specified	Tel Hazor						hz13d	hz13	pmagpy-3.4.1: thellier_gui.v.3.0	hz13d1
											This study											Archeologic	Ceramic																Not Specified	Tel Hazor						hz13d	hz13	pmagpy-3.4.1: thellier_gui.v.3.0	hz13d2
											This study											Archeologic	Ceramic																Not Specified	Tel Hazor						hz13d	hz13	pmagpy-3.4.1: thellier_gui.v.3.0	hz13d3
											This study										LP-AN-TRM: LP-PI-ALT-PTRM : LP-PI-BT-IZZI : LP-PI-TRM :hz13e1	Archeologic	Ceramic	5.8399999999999997e-05	0.03	c	1.09	0.94	1.47	8.5	0.95	0.9	0.89	2.95	12.0	6.0	27.2	5.9999999999999995e-05	Not Specified	Tel Hazor	863.0	423.0	K	AE-H:DA-AC-ATRM:DA-CR:IE-TT:LP-AN-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM		hz13e	hz13	pmagpy-3.4.1: thellier_gui.v.3.0	hz13e1
3.33	18.800442	11.600541	11.90065	0.326626 : 0.320143 : 0.353231 : -0.015613 : -0.007608 : 0.007738	6.0	0.005335	ATRM	0.359143 : 318.8 : 61.4	0.333443 : 322.1 : -28.6	0.307414 : 51.3 : 1.4	This study	Critical F: 3.1059									hz13e1;ATRM	Archeologic	Ceramic																Not Specified	Tel Hazor				AE-H:LP-AN-TRM	g	hz13e	hz13	pmagpy-3.4.1: thellier_gui.v.3.0	hz13e1
											This study										LP-AN-TRM: LP-PI-ALT-PTRM : LP-PI-BT-IZZI : LP-PI-TRM :hz13e2	Archeologic	Ceramic	6.32e-05	0.04	c	1.0	0.95	1.39	2.48	0.93	0.86	0.87	4.55	13.0	5.0	19.86	5.9999999999999995e-05	Not Specified	Tel Hazor	833.0	273.0	K	AE-H:DA-AC-ATRM:DA-CR:IE-TT:LP-AN-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM		hz13e	hz13	pmagpy-3.4.1: thellier_gui.v.3.0	hz13e2
1.98	12.738889	16.443997	1.8805330000000002	0.340117 : 0.329936 : 0.329947 : 0.007391 : -0.008706 : -0.018829	6.0	0.005712	ATRM	0.358862 : 206.4 : 35.6	0.326107 : 114.3 : 3.0	0.315030 : 200.1 : -54.2	This study	Critical F: 3.1059									hz13e2;ATRM	Archeologic	Ceramic																Not Specified	Tel Hazor				AE-H:LP-AN-TRM	g	hz13e	hz13	pmagpy-3.4.1: thellier_gui.v.3.0	hz13e2
											This study										LP-AN-TRM: LP-PI-ALT-PTRM : LP-PI-BT-IZZI : LP-PI-TRM :hz13e3	Archeologic	Ceramic	6.0299999999999995e-05	0.05	c	1.06	0.94	2.42	8.0	0.99	0.94	0.88	4.43	13.0	6.0	18.35	5.9999999999999995e-05	Not Specified	Tel Hazor	863.0	373.0	K	AE-H:DA-AC-ATRM:DA-CR:IE-TT:LP-AN-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM		hz13e	hz13	pmagpy-3.4.1: thellier_gui.v.3.0	hz13e3
1.56	2.4919740000000004	2.426047	0.828829	0.324655 : 0.336933 : 0.338412 : 0.015113 : -0.008477 : -0.012812	6.0	0.012938	ATRM	0.357885 : 50.2 : -37.1	0.329386 : 82.3 : 48.2	0.312729 : 333.0 : 16.4	This study	Critical F: 3.1059									hz13e3;ATRM	Archeologic	Ceramic																Not Specified	Tel Hazor				AE-H:LP-AN-TRM	b	hz13e	hz13	pmagpy-3.4.1: thellier_gui.v.3.0	hz13e3
											This study										LP-AN-TRM: LP-PI-ALT-PTRM : LP-PI-BT-IZZI : LP-PI-TRM :hz13e4	Archeologic	Ceramic	6.42e-05	0.06	c	0.99	0.94	1.13	4.22	0.95	0.9	0.87	2.27	11.0	6.0	14.67	5.9999999999999995e-05	Not Specified	Tel Hazor	863.0	473.0	K	AE-H:DA-AC-ATRM:DA-CR:IE-TT:LP-AN-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM		hz13e	hz13	pmagpy-3.4.1: thellier_gui.v.3.0	hz13e4
1.98	1.464083	0.8991239999999999	0.930848	0.345372 : 0.321282 : 0.333346 : 0.003400 : -0.001685 : 0.001965	6.0	0.009448	ATRM	0.346077 : 7.3 : 7.8	0.333407 : 236.0 : 78.3	0.320516 : 278.5 : -8.7	This study	Critical F: 3.1059									hz13e4;ATRM	Archeologic	Ceramic																Not Specified	Tel Hazor				AE-H:LP-AN-TRM	b	hz13e	hz13	pmagpy-3.4.1: thellier_gui.v.3.0	hz13e4
											This study										LP-AN-TRM: LP-PI-ALT-PTRM : LP-PI-BT-IZZI : LP-PI-TRM :hz13e5	Archeologic	Ceramic	6.56e-05	0.07	c	0.97	0.94	1.71	5.53	0.9	0.81	0.87	2.4	10.0	6.0	11.21	5.9999999999999995e-05	Not Specified	Tel Hazor	863.0	523.0	K	AE-H:DA-AC-ATRM:DA-CR:IE-TT:LP-AN-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM		hz13e	hz13	pmagpy-3.4.1: thellier_gui.v.3.0	hz13e5
1.45	2.43102	1.0150219999999999	2.087507	0.344174 : 0.336425 : 0.319401 : -0.002049 : 0.005609 : -0.017118	6.0	0.012689	ATRM	0.354029 : 343.9 : -27.5	0.335949 : 253.2 : -1.4	0.310022 : 340.4 : 62.5	This study	Critical F: 3.1059									hz13e5;ATRM	Archeologic	Ceramic																Not Specified	Tel Hazor				AE-H:LP-AN-TRM	b	hz13e	hz13	pmagpy-3.4.1: thellier_gui.v.3.0	hz13e5
											This study										LP-AN-ARM: LP-PI-ALT-PTRM : LP-PI-BT-IZZI : LP-PI-TRM :hz13e6	Archeologic	Ceramic	6.31e-05	0.04	c	1.0	0.94	1.6	1.07	0.87	0.84	0.87	3.54	11.0	5.0	18.81	5.9999999999999995e-05	Not Specified	Tel Hazor	833.0	423.0	K	AE-H:DA-AC-AARM:DA-CR:IE-TT:LP-AN-ARM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM		hz13e	hz13	pmagpy-3.4.1: thellier_gui.v.3.0	hz13e6
	2.079694	1.021806	1.599317	0.345551 : 0.336060 : 0.318389 : 0.002831 : -0.008466 : -0.021870	9.0	0.016963	AARM	0.359612 : 198.6 : 29.6	0.335363 : 109.7 : -2.0	0.305025 : 23.2 : 60.3	This study	Critical F: 2.6848									hz13e6;AARM	Archeologic	Ceramic																Not Specified	Tel Hazor				AE-H:LP-AN-ARM	b	hz13e	hz13	pmagpy-3.4.1: thellier_gui.v.3.0	hz13e6
											This study										LP-AN-TRM: LP-PI-ALT-PTRM : LP-PI-BT-IZZI : LP-PI-TRM :hz13f1	Archeologic	Ceramic	6.36e-05	0.03	c	0.93	0.96	0.68	1.78	0.88	0.88	0.9	2.61	12.0	6.0	28.15	5.9999999999999995e-05	Not Specified	Tel Hazor	863.0	423.0	K	AE-H:DA-AC-ATRM:DA-CR:IE-TT:LP-AN-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM		hz13f	hz13	pmagpy-3.4.1: thellier_gui.v.3.0	hz13f1
1.8	5.469588	6.212003	1.252984	0.340922 : 0.326532 : 0.332546 : 0.011399 : 0.020943 : 0.015559	6.0	0.011234000000000001	ATRM	0.365661 : 39.4 : 37.4	0.326062 : 330.0 : -24.7	0.308277 : 264.9 : 42.5	This study	Critical F: 3.1059									hz13f1;ATRM	Archeologic	Ceramic																Not Specified	Tel Hazor				AE-H:LP-AN-TRM	g	hz13f	hz13	pmagpy-3.4.1: thellier_gui.v.3.0	hz13f1
											This study										LP-AN-TRM: LP-PI-ALT-PTRM : LP-PI-BT-IZZI : LP-PI-TRM :hz13f2	Archeologic	Ceramic	6.4e-05	0.01	c	0.91	0.97	1.46	4.37	0.77	0.78	0.88	3.37	10.0	5.0	46.99	5.9999999999999995e-05	Not Specified	Tel Hazor	833.0	473.0	K	AE-H:DA-AC-ATRM:DA-CR:IE-TT:LP-AN-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM		hz13f	hz13	pmagpy-3.4.1: thellier_gui.v.3.0	hz13f2
2.49	4.477899	4.12951	1.6535229999999999	0.354855 : 0.311429 : 0.333716 : -0.022909 : 0.013193 : -0.012683	6.0	0.015422	ATRM	0.372229 : 154.2 : 24.0	0.327908 : 7.2 : 62.0	0.299863 : 250.3 : 13.5	This study	Critical F: 3.1059									hz13f2;ATRM	Archeologic	Ceramic																Not Specified	Tel Hazor				AE-H:LP-AN-TRM	g	hz13f	hz13	pmagpy-3.4.1: thellier_gui.v.3.0	hz13f2
